time,open,high,low,close,tick_volume,spread,real_volume,low_time,high_time
2015-02-06 00:00:00,0.7797,0.7859,0.77933,0.7828,18061,4,21357500000,2015-02-06 00:30:00,2015-02-06 02:30:00
2015-02-06 04:00:00,0.78276,0.78433,0.78117,0.78401,12310,4,14275000000,2015-02-06 04:30:00,2015-02-06 07:30:00
2015-02-06 08:00:00,0.784,0.78428,0.78185,0.78374,18258,4,19015000000,2015-02-06 10:00:00,2015-02-06 08:00:00
2015-02-06 12:00:00,0.78374,0.7876,0.77793,0.78295,30785,4,32049500000,2015-02-06 15:30:00,2015-02-06 14:30:00
2015-02-06 16:00:00,0.78295,0.78322,0.77851,0.7794,37224,4,41075000000,2015-02-06 16:00:00,2015-02-06 17:00:00
2015-02-06 20:00:00,0.77942,0.78066,0.7778,0.77934,11727,4,12222500000,2015-02-06 20:00:00,2015-02-06 20:00:00
2015-02-09 00:00:00,0.77641,0.77771,0.77476,0.777,14330,4,16510000000,2015-02-09 02:30:00,2015-02-09 03:30:00
2015-02-09 04:00:00,0.77702,0.77734,0.77579,0.77684,11941,4,14295500000,2015-02-09 07:00:00,2015-02-09 04:30:00
2015-02-09 08:00:00,0.77684,0.78024,0.7759,0.78023,22205,4,24694500000,2015-02-09 08:00:00,2015-02-09 11:30:00
2015-02-09 12:00:00,0.78022,0.78215,0.7796,0.78102,24228,4,29242000000,2015-02-09 12:00:00,2015-02-09 14:00:00
2015-02-09 16:00:00,0.78102,0.78343,0.78068,0.78114,20177,4,26998500000,2015-02-09 16:30:00,2015-02-09 17:00:00
2015-02-09 20:00:00,0.78113,0.7827,0.78011,0.78021,9490,4,14792000000,2015-02-09 23:30:00,2015-02-09 21:30:00
2015-02-10 00:00:00,0.77986,0.78252,0.77913,0.78163,14002,4,17783000000,2015-02-10 00:00:00,2015-02-10 03:30:00
2015-02-10 04:00:00,0.78163,0.78415,0.78125,0.78211,15052,4,18851000000,2015-02-10 04:00:00,2015-02-10 04:30:00
2015-02-10 08:00:00,0.78211,0.78303,0.77666,0.77672,24068,4,29414000000,2015-02-10 11:30:00,2015-02-10 09:00:00
2015-02-10 12:00:00,0.77672,0.77981,0.776,0.7767,32000,4,39427000000,2015-02-10 12:00:00,2015-02-10 14:00:00
2015-02-10 16:00:00,0.77669,0.77922,0.77472,0.77762,27130,4,35060000000,2015-02-10 17:30:00,2015-02-10 19:00:00
2015-02-10 20:00:00,0.77762,0.77782,0.77602,0.77706,9991,4,13695500000,2015-02-10 23:30:00,2015-02-10 20:00:00
2015-02-11 00:00:00,0.7768,0.77935,0.77642,0.77921,13174,4,16429000000,2015-02-11 00:30:00,2015-02-11 03:30:00
2015-02-11 04:00:00,0.7792,0.77943,0.7763,0.7776,13677,4,17134500000,2015-02-11 05:30:00,2015-02-11 04:00:00
2015-02-11 08:00:00,0.7776,0.77822,0.77517,0.77656,18657,4,21906500000,2015-02-11 10:00:00,2015-02-11 08:30:00
2015-02-11 12:00:00,0.77656,0.77675,0.77125,0.77356,24393,4,29728500000,2015-02-11 13:30:00,2015-02-11 12:00:00
2015-02-11 16:00:00,0.77355,0.77397,0.76934,0.77093,29129,4,36195500000,2015-02-11 17:30:00,2015-02-11 16:00:00
2015-02-11 20:00:00,0.77093,0.77205,0.77033,0.77152,12338,4,16281000000,2015-02-11 20:30:00,2015-02-11 23:30:00
2015-02-12 00:00:00,0.77182,0.77284,0.76435,0.76559,19518,4,23607000000,2015-02-12 03:30:00,2015-02-12 00:30:00
2015-02-12 04:00:00,0.76563,0.76683,0.76474,0.76503,15898,4,19148000000,2015-02-12 06:30:00,2015-02-12 05:30:00
2015-02-12 08:00:00,0.76503,0.76934,0.76492,0.7687,26209,4,30720500000,2015-02-12 10:00:00,2015-02-12 11:00:00
2015-02-12 12:00:00,0.76869,0.77045,0.76671,0.76806,29659,4,33871500000,2015-02-12 13:00:00,2015-02-12 15:30:00
2015-02-12 16:00:00,0.76806,0.7779,0.76707,0.7742,36988,4,42262000000,2015-02-12 16:00:00,2015-02-12 18:30:00
2015-02-12 20:00:00,0.7742,0.77539,0.77333,0.77338,12714,4,16723000000,2015-02-12 20:00:00,2015-02-12 21:30:00
2015-02-13 00:00:00,0.77381,0.77667,0.77239,0.77421,13644,4,14857000000,2015-02-13 00:30:00,2015-02-13 01:30:00
2015-02-13 04:00:00,0.77421,0.77923,0.77394,0.77876,17438,4,21466000000,2015-02-13 04:00:00,2015-02-13 07:30:00
2015-02-13 08:00:00,0.77875,0.77887,0.77368,0.77393,18374,4,21578000000,2015-02-13 11:30:00,2015-02-13 08:00:00
2015-02-13 12:00:00,0.77394,0.77615,0.7725,0.77562,21057,4,24000500000,2015-02-13 14:00:00,2015-02-13 15:30:00
2015-02-13 16:00:00,0.77562,0.77772,0.77523,0.77756,23389,4,29926500000,2015-02-13 16:00:00,2015-02-13 17:00:00
2015-02-13 20:00:00,0.77761,0.77762,0.77456,0.77456,9015,4,11715500000,2015-02-13 23:30:00,2015-02-13 20:00:00
2015-02-16 00:00:00,0.77713,0.77834,0.77569,0.7781,11800,4,13730000000,2015-02-16 01:00:00,2015-02-16 03:30:00
2015-02-16 04:00:00,0.7781,0.77945,0.77755,0.77844,11764,4,15188000000,2015-02-16 04:30:00,2015-02-16 06:30:00
2015-02-16 08:00:00,0.77843,0.77913,0.77649,0.77732,16048,4,20427000000,2015-02-16 11:30:00,2015-02-16 09:30:00
2015-02-16 12:00:00,0.77733,0.77842,0.77729,0.77781,11583,4,13487500000,2015-02-16 15:30:00,2015-02-16 13:30:00
2015-02-16 16:00:00,0.77781,0.77818,0.77595,0.77625,11123,4,13535500000,2015-02-16 19:30:00,2015-02-16 16:00:00
2015-02-16 20:00:00,0.77626,0.77768,0.77501,0.77735,14359,4,16640500000,2015-02-16 20:00:00,2015-02-16 23:00:00
2015-02-17 00:00:00,0.77715,0.77884,0.77405,0.77847,14349,4,16589500000,2015-02-17 02:30:00,2015-02-17 03:30:00
2015-02-17 04:00:00,0.77848,0.78089,0.77792,0.77976,14994,4,18516000000,2015-02-17 04:00:00,2015-02-17 04:30:00
2015-02-17 08:00:00,0.77978,0.78143,0.77795,0.78012,21521,4,26250500000,2015-02-17 10:00:00,2015-02-17 11:30:00
2015-02-17 12:00:00,0.78014,0.78287,0.77931,0.78204,25159,4,29270500000,2015-02-17 12:00:00,2015-02-17 15:00:00
2015-02-17 16:00:00,0.78204,0.78236,0.77883,0.78194,25508,4,30093000000,2015-02-17 17:00:00,2015-02-17 16:00:00
2015-02-17 20:00:00,0.78194,0.78268,0.78093,0.78157,14364,4,16583000000,2015-02-17 20:30:00,2015-02-17 20:00:00
2015-02-18 00:00:00,0.78143,0.78215,0.78044,0.781,9273,4,10774500000,2015-02-18 01:00:00,2015-02-18 02:30:00
2015-02-18 04:00:00,0.78099,0.78313,0.78092,0.78216,7734,4,7845000000,2015-02-18 04:00:00,2015-02-18 06:30:00
2015-02-18 08:00:00,0.78215,0.78257,0.78042,0.7806,16525,4,19500500000,2015-02-18 11:30:00,2015-02-18 11:00:00
2015-02-18 12:00:00,0.7806,0.78102,0.77852,0.77935,17696,4,17515000000,2015-02-18 15:00:00,2015-02-18 12:00:00
2015-02-18 16:00:00,0.77935,0.77947,0.77733,0.77817,19180,4,20704000000,2015-02-18 17:00:00,2015-02-18 16:00:00
2015-02-18 20:00:00,0.77817,0.78382,0.77756,0.78123,25428,4,25473000000,2015-02-18 20:30:00,2015-02-18 21:00:00
2015-02-19 00:00:00,0.78116,0.78252,0.78017,0.78211,8232,4,8722000000,2015-02-19 00:30:00,2015-02-19 03:30:00
