time,open,high,low,close,tick_volume,spread,real_volume
2003-10-30 08:00:00,1.168,1.1684,1.1661,1.1676,1806,50,0
2003-10-30 12:00:00,1.1675,1.1759,1.1672,1.1715,2216,50,0
2003-10-30 16:00:00,1.1716,1.1721,1.1634,1.1635,2174,50,0
2003-10-30 20:00:00,1.1639,1.1644,1.162,1.1627,1872,50,0
2003-10-31 00:00:00,1.1628,1.1634,1.161,1.1622,1342,50,0
2003-10-31 04:00:00,1.1623,1.1632,1.1612,1.1614,1559,50,0
2003-10-31 08:00:00,1.1614,1.1649,1.1607,1.1637,1904,50,0
2003-10-31 12:00:00,1.1637,1.165,1.1612,1.1638,1769,50,0
2003-10-31 16:00:00,1.1642000000000001,1.166,1.1579,1.1592,2105,50,0
2003-10-31 20:00:00,1.1593,1.1601,1.1562999999999999,1.1595,1574,50,0
2003-11-03 00:00:00,1.1582,1.1591,1.1569,1.1574,883,50,0
2003-11-03 04:00:00,1.1576,1.1586,1.1571,1.158,1172,50,0
2003-11-03 08:00:00,1.158,1.1597,1.1566,1.1586,1728,50,0
2003-11-03 12:00:00,1.1585,1.1623,1.1575,1.1594,1859,50,0
2003-11-03 16:00:00,1.1595,1.161,1.1428,1.1455,2068,50,0
2003-11-03 20:00:00,1.1454,1.1473,1.1444,1.1458,1527,50,0
2003-11-04 00:00:00,1.1461000000000001,1.1472,1.1439,1.1443,1202,50,0
2003-11-04 04:00:00,1.1444,1.1453,1.1427,1.145,1335,50,0
2003-11-04 08:00:00,1.145,1.1469,1.1438,1.1458,1664,50,0
2003-11-04 12:00:00,1.1457,1.1489,1.1455,1.1473,1741,50,0
2003-11-04 16:00:00,1.1474,1.1515,1.1466,1.1502,1928,50,0
2003-11-04 20:00:00,1.1501000000000001,1.1506,1.1486,1.1495,1339,50,0
2003-11-05 00:00:00,1.149,1.15,1.1466,1.1477,1092,50,0
2003-11-05 04:00:00,1.1476,1.1493,1.1473,1.1486,1178,50,0
2003-11-05 08:00:00,1.1486,1.1501000000000001,1.1441,1.1461999999999999,1779,50,0
2003-11-05 12:00:00,1.1461999999999999,1.1486,1.1442,1.1461000000000001,1731,50,0
2003-11-05 16:00:00,1.1459,1.1498,1.1413,1.1456,1933,50,0
2003-11-05 20:00:00,1.1458,1.1466,1.1419,1.1438,1504,50,0
2003-11-06 00:00:00,1.1439,1.1442,1.1421000000000001,1.1428,1054,50,0
2003-11-06 04:00:00,1.1427,1.1452,1.1426,1.1449,1303,50,0
2003-11-06 08:00:00,1.1448,1.1467,1.1435,1.1451,1811,50,0
2003-11-06 12:00:00,1.1452,1.1468,1.1389,1.1402,2092,50,0
2003-11-06 16:00:00,1.1401,1.1451,1.1395,1.1423,2154,50,0
2003-11-06 20:00:00,1.142,1.1427,1.1404,1.1415,1563,50,0
2003-11-07 00:00:00,1.1416,1.1428,1.1406,1.1421999999999999,1293,50,0
2003-11-07 04:00:00,1.1424,1.1435,1.1411,1.1415,1293,50,0
2003-11-07 08:00:00,1.1414,1.1432,1.1412,1.1428,1730,50,0
2003-11-07 12:00:00,1.1424,1.1442,1.1376,1.1386,2115,50,0
2003-11-07 16:00:00,1.1387,1.153,1.1383,1.1525,2372,50,0
2003-11-07 20:00:00,1.1526,1.1545,1.1502,1.1526,1682,50,0
2003-11-10 00:00:00,1.1503,1.1529,1.1495,1.1524,906,50,0
2003-11-10 04:00:00,1.1522999999999999,1.1529,1.1512,1.1522999999999999,1136,50,0
2003-11-10 08:00:00,1.1522999999999999,1.1538,1.1487,1.1497,1831,50,0
2003-11-10 12:00:00,1.1498,1.1503,1.1467,1.1485,1922,50,0
2003-11-10 16:00:00,1.1485,1.1527,1.1477,1.1504,1947,50,0
2003-11-10 20:00:00,1.1501000000000001,1.1511,1.1461000000000001,1.1481,1666,50,0
2003-11-11 00:00:00,1.148,1.1482999999999999,1.1444,1.1475,1475,50,0
2003-11-11 04:00:00,1.148,1.1487,1.147,1.1477,1301,50,0
2003-11-11 08:00:00,1.148,1.1509,1.1456,1.1506,1820,50,0
2003-11-11 12:00:00,1.1508,1.1515,1.1486,1.1496,1757,50,0
2003-11-11 16:00:00,1.1497,1.1533,1.1491,1.1509,1898,50,0
2003-11-11 20:00:00,1.1509,1.1526,1.1502,1.1517,1286,50,0
2003-11-12 00:00:00,1.1521,1.1527,1.1506,1.1524,1215,50,0
2003-11-12 04:00:00,1.1522999999999999,1.1587,1.1522000000000001,1.1568,1551,50,0
2003-11-12 08:00:00,1.1566,1.1593,1.1557,1.1579,1681,50,0
2003-11-12 12:00:00,1.158,1.1621,1.1575,1.1595,2031,50,0
2003-11-12 16:00:00,1.1595,1.1663000000000001,1.1589,1.1654,2181,50,0
2003-11-12 20:00:00,1.1654,1.1658,1.1625,1.1632,1604,50,0
2003-11-13 00:00:00,1.1631,1.1659,1.1628,1.1646,1357,50,0
2003-11-13 04:00:00,1.1646,1.1661,1.1641,1.1654,1368,50,0
2003-11-13 08:00:00,1.1653,1.1705,1.1639,1.1691,1969,50,0
2003-11-13 12:00:00,1.1688,1.173,1.1671,1.1716,2064,50,0
2003-11-13 16:00:00,1.1715,1.174,1.169,1.1702,2066,50,0
2003-11-13 20:00:00,1.1701,1.1742,1.1697,1.1735,1762,50,0
2003-11-14 00:00:00,1.1735,1.1755,1.1728,1.1751,1435,50,0
2003-11-14 04:00:00,1.1749,1.1802,1.1743999999999999,1.1788,1692,50,0
2003-11-14 08:00:00,1.1789,1.1801,1.177,1.1782,1871,50,0
2003-11-14 12:00:00,1.1782,1.1795,1.1732,1.1746,2024,50,0
2003-11-14 16:00:00,1.1747,1.1806,1.1734,1.1754,2294,50,0
2003-11-14 20:00:00,1.1755,1.1787,1.1742,1.1779,1659,50,0
2003-11-17 00:00:00,1.1814,1.1852,1.1806,1.1811,1200,50,0
